"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C9,C11,C14";"C_0805_HandSoldering";7;"0.1uF";;;
2;"C5";"C_0805_HandSoldering";1;"470pF";;;
3;"C6";"C_0805_HandSoldering";1;"4.7uF";;;
4;"C7,C8";"C_0805_HandSoldering";2;"18pF";;;
5;"J1";"USB-MICROB_LARGEPAD";1;"USB_OTG";;;
6;"J2";"Pin_Header_Straight_1x05_Pitch1.27mm";1;"CONN_01X05";;;
7;"P3";"MOLEX_0.5MM_505278";1;"CONN_01X10";;;
8;"R1";"R_0805_HandSoldering";1;"249";;;
9;"R2,R3";"R_0805_HandSoldering";2;"4.7K";;;
10;"R5";"R_0805_HandSoldering";1;"1M";;;
11;"SW1";"SW_SPST_B3U-1100P";1;"SW_Reset";;;
12;"SW2";"SW_SPST_B3U-1100P";1;"SW_Up";;;
13;"SW3";"SW_SPST_B3U-1100P";1;"SW_Middle";;;
14;"SW4";"SW_SPST_B3U-1100P";1;"SW_Down";;;
15;"U1";"SOT-23-5";1;"MIC5219-3.3BM5";;;
16;"U2";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATSAMD21Ennc-AU";;;
17;"U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"DS3231MZ";;;
18;"U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP7940N-I/SN";;;
19;"U5";"SOT-353_SC-70-5_Handsoldering";1;"74HC1G14GW";;;
20;"Y1,Y2";"Crystal_SMD_EuroQuartz_EQ161-2pin_3.2x1.5mm";2;"32.768kHz";;;
21;"BT1";"CR2032-001";1;"Battery_Cell";;;
